Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
126	1	100.360	i12043Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
127	1	101.360		0.21	1	 0.612086	 0.535397	 1.33346	 2.43714	  4.8	-0.360687	-0.437375	0.983
128	1	102.127	i48162Gh	0.21	1	 0.571429	 0.571429	 1.33333	 2.43810	  4.8	-0.380952	-0.380952	1.000
129	1	103.127		0.21	1	 0.596346	 0.547991	 1.33375	 2.43771	  4.8	-0.368703	-0.417059	0.971
130	1	104.127		0.21	1	 0.624205	 0.525846	 1.33387	 2.43655	  4.8	-0.354835	-0.453194	0.964
131	1	105.127		0.22	1	 0.651493	 0.507998	 1.33365	 2.43470	  4.9	-0.341081	-0.484575	0.979
132	1	105.749	i48600Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
133	1	105.749	i11989Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
134	1	105.749	i30285Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
135	1	105.749	i24365Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
136	1	105.749	i48631Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
137	1	105.749	i12003Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
138	1	106.626	i51429Gb	0.32	1	 0.666638	 0.439205	 1.50329	 2.37752	  7.1	-0.418325	-0.645758	0.983
139	1	107.498	i00874Gh	0.39	1	 0.666667	 0.444444	 1.60000	 2.33778	  8.7	-0.466667	-0.688889	1.000
140	1	107.498	i40030Gh	0.39	1	 0.666667	 0.444444	 1.60000	 2.33778	  8.7	-0.466667	-0.688889	1.000
141	1	108.498		0.41	1	 0.633424	 0.437370	 1.62555	 2.32783	  9.1	-0.496061	-0.692115	0.964
142	1	109.498		0.43	1	 0.597872	 0.435725	 1.65012	 2.31721	  9.5	-0.526125	-0.688272	0.937
143	1	110.498		0.45	1	 0.561044	 0.440072	 1.67351	 2.30582	  9.9	-0.556235	-0.677207	0.917
144	1	111.498		0.48	1	 0.524536	 0.450213	 1.69556	 2.29358	 10.4	-0.585514	-0.659836	0.906
145	1	112.498		0.50	1	 0.490286	 0.464969	 1.71619	 2.28047	 10.9	-0.612951	-0.638268	0.903
146	1	113.498		0.53	1	 0.460132	 0.482288	 1.73540	 2.26656	 11.5	-0.637634	-0.615478	0.909
147	1	114.498		0.56	1	 0.435315	 0.499732	 1.75328	 2.25200	 12.0	-0.658980	-0.594564	0.922
148	1	115.369	i31703Gh	0.58	1	 0.418355	 0.513312	 1.76784	 2.23895	 12.5	-0.674740	-0.579784	0.941
149	1	116.369		0.65	1	 0.408687	 0.469393	 1.84833	 2.20358	 13.9	-0.719823	-0.659118	0.908
150	1	117.369		0.72	1	 0.400229	 0.423518	 1.92796	 2.16719	 15.3	-0.763867	-0.740578	0.880
151	1	118.369		0.80	1	 0.392885	 0.376650	 2.00517	 2.13033	 16.8	-0.806141	-0.822375	0.855
152	1	119.369		0.87	1	 0.386502	 0.329845	 2.07844	 2.09358	 18.2	-0.845967	-0.902624	0.833
153	1	120.369		0.95	1	 0.380883	 0.284155	 2.14643	 2.05749	 19.6	-0.882771	-0.979500	0.815
154	1	121.369		1.02	1	 0.375814	 0.240529	 2.20806	 2.02256	 21.0	-0.916122	-1.05141	0.801
155	1	122.369		1.10	1	 0.371084	 0.199714	 2.26259	 1.98919	 22.3	-0.945752	-1.11712	0.790
156	1	123.369		1.16	1	 0.366507	 0.162173	 2.30962	 1.95768	 23.5	-0.971558	-1.17589	0.782
157	1	124.369		1.23	1	 0.361945	 0.128028	 2.34912	 1.92820	 24.7	-0.993587	-1.22750	0.778
158	1	125.369		1.29	1	 0.357310	 0.0970135	 2.38132	 1.90081	 25.7	-1.01200	-1.27230	0.777
159	1	126.369		1.35	1	 0.352571	 0.0684320	 2.40669	 1.87548	 26.7	-1.02706	-1.31120	0.780
160	1	127.369		1.41	1	 0.347746	 0.0410831	 2.42583	 1.85212	 27.7	-1.03904	-1.34571	0.786
161	1	128.369		1.46	1	 0.342898	 0.0131163	 2.43944	 1.83057	 28.5	-1.04827	-1.37805	0.796
162	1	129.369		1.50	1	 0.338117	-0.0182788	 2.44821	 1.81068	 29.3	-1.05505	-1.41144	0.809
163	1	130.369		1.55	1	 0.333515	-0.0575421	 2.45283	 1.79226	 30.0	-1.05966	-1.45072	0.825
