Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
98	1	80.304	i12045Gh	0.14	1	 1.25000	 1.07692	 1.50000	 1.32493	  2.3	-0.125000	-0.298077	1.000
99	1	81.304		0.10	1	 1.27959	 1.08932	 1.45617	 1.33369	  1.6	-0.0882897	-0.278565	0.971
100	1	82.304		0.07	1	 1.30399	 1.10986	 1.39883	 1.34134	  1.0	-0.0474222	-0.241545	0.964
101	1	83.304		0.04	1	 1.32328	 1.13616	 1.33121	 1.34691	  0.6	-0.00396729	-0.191088	0.979
102	1	83.936	i26412Gh	0.03	1	 1.33333	 1.15385	 1.28571	 1.34900	  0.5	 0.0238095	-0.155678	1.000
103	1	84.809	i12070Gh	0.06	1	 1.37527	 1.11479	 1.28572	 1.34286	  0.9	 0.0447773	-0.215705	0.983
104	1	85.682	i03608Gh	0.09	1	 1.40000	 1.08333	 1.28571	 1.33604	  1.4	 0.0571429	-0.259524	1.000
105	1	85.682	i42017Gh	0.09	1	 1.40000	 1.08333	 1.28571	 1.33604	  1.4	 0.0571429	-0.259524	1.000
106	1	85.682	i33902Gh	0.09	1	 1.40000	 1.08333	 1.28571	 1.33604	  1.4	 0.0571429	-0.259524	1.000
107	1	86.682		0.06	1	 1.35910	 1.10569	 1.29765	 1.34323	  0.9	 0.0307244	-0.222681	0.967
108	1	87.682		0.03	1	 1.31435	 1.13642	 1.30745	 1.34893	  0.5	 0.00344723	-0.174477	0.949
109	1	88.682		0.01	1	 1.26854	 1.17338	 1.31530	 1.35256	  0.2	-0.0233830	-0.118538	0.945
110	1	89.682		0.01	1	 1.22486	 1.21314	 1.32206	 1.35379	  0.1	-0.0486006	-0.0603186	0.955
111	1	90.682		0.01	1	 1.18611	 1.25194	 1.32891	 1.35268	  0.2	-0.0714019	-0.00556733	0.979
112	1	91.261	i20406Gh	0.02	1	 1.16667	 1.27273	 1.33333	 1.35110	  0.3	-0.0833333	 0.0227273	1.000
113	1	91.261	i42419Gh	0.02	1	 1.16667	 1.27273	 1.33333	 1.35110	  0.3	-0.0833333	 0.0227273	1.000
114	1	92.261		0.02	1	 1.16665	 1.28711	 1.30527	 1.35155	  0.3	-0.0693110	 0.0511545	0.983
115	1	93.027	i24607Gh	0.02	1	 1.16667	 1.30000	 1.28571	 1.35156	  0.3	-0.0595238	 0.0738095	1.000
116	1	93.027	i35251Gh	0.02	1	 1.16667	 1.30000	 1.28571	 1.35156	  0.3	-0.0595238	 0.0738095	1.000
117	1	94.027		0.01	1	 1.20204	 1.22327	 1.33080	 1.35288	  0.2	-0.0643805	-0.0431567	0.967
118	1	95.027		0.04	1	 1.24535	 1.14061	 1.37707	 1.34789	  0.6	-0.0658639	-0.170601	0.949
119	1	96.027		0.09	1	 1.29278	 1.05972	 1.42075	 1.33639	  1.4	-0.0639847	-0.297040	0.945
120	1	97.027		0.17	1	 1.33936	 0.988531	 1.45831	 1.31939	  2.7	-0.0594755	-0.410301	0.955
121	1	98.027		0.27	1	 1.38043	 0.932789	 1.48749	 1.29885	  4.2	-0.0535299	-0.501168	0.980
122	1	98.593	i47543Gh	0.33	1	 1.40000	 0.909091	 1.50000	 1.28652	  5.1	-0.0500000	-0.540909	1.000
123	1	98.593	i00570Gh	0.33	1	 1.40000	 0.909091	 1.50000	 1.28652	  5.1	-0.0500000	-0.540909	1.000
124	1	98.593	i29243Gh	0.33	1	 1.40000	 0.909091	 1.50000	 1.28652	  5.1	-0.0500000	-0.540909	1.000
125	1	99.593		0.26	1	 1.37504	 0.953379	 1.50008	 1.29973	  4.1	-0.0625178	-0.484182	0.983
126	1	100.360	i12043Gh	0.21	1	 1.33333	 1.00000	 1.50000	 1.31034	  3.3	-0.0833333	-0.416667	1.000
127	1	101.360		0.16	1	 1.26001	 1.04477	 1.50007	 1.32213	  2.5	-0.120031	-0.335279	0.983
128	1	102.127	i48162Gh	0.13	1	 1.20000	 1.09091	 1.50000	 1.32790	  2.0	-0.150000	-0.259091	1.000
129	1	103.127		0.18	1	 1.23850	 1.02745	 1.52903	 1.31669	  2.9	-0.145267	-0.356313	0.971
130	1	104.127		0.25	1	 1.27841	 0.970011	 1.54940	 1.30302	  3.9	-0.135499	-0.443894	0.964
131	1	105.127		0.32	1	 1.31455	 0.926760	 1.55731	 1.28872	  4.9	-0.121384	-0.509170	0.979
132	1	105.749	i48600Gh	0.36	1	 1.33333	 0.909091	 1.55556	 1.28039	  5.5	-0.111111	-0.535354	1.000
133	1	105.749	i11989Gh	0.36	1	 1.33333	 0.909091	 1.55556	 1.28039	  5.5	-0.111111	-0.535354	1.000
134	1	105.749	i30285Gh	0.36	1	 1.33333	 0.909091	 1.55556	 1.28039	  5.5	-0.111111	-0.535354	1.000
135	1	105.749	i24365Gh	0.36	1	 1.33333	 0.909091	 1.55556	 1.28039	  5.5	-0.111111	-0.535354	1.000
136	1	105.749	i48631Gh	0.36	1	 1.33333	 0.909091	 1.55556	 1.28039	  5.5	-0.111111	-0.535354	1.000
137	1	105.749	i12003Gh	0.36	1	 1.33333	 0.909091	 1.55556	 1.28039	  5.5	-0.111111	-0.535354	1.000
138	1	106.626	i51429Gb	0.41	1	 1.33336	 0.897484	 1.60930	 1.27072	  6.3	-0.137972	-0.573844	0.983
139	1	107.498	i00874Gh	0.42	1	 1.33333	 0.916667	 1.62500	 1.26868	  6.4	-0.145833	-0.562500	1.000
140	1	107.498	i40030Gh	0.42	1	 1.33333	 0.916667	 1.62500	 1.26868	  6.4	-0.145833	-0.562500	1.000
141	1	108.498		0.42	1	 1.31535	 0.900568	 1.63917	 1.26799	  6.5	-0.161911	-0.576689	0.964
142	1	109.498		0.42	1	 1.29386	 0.887853	 1.65285	 1.26750	  6.5	-0.179496	-0.585505	0.937
143	1	110.498		0.42	1	 1.26893	 0.879564	 1.66585	 1.26716	  6.5	-0.198460	-0.587829	0.917
144	1	111.498		0.43	1	 1.24103	 0.876501	 1.67797	 1.26687	  6.5	-0.218474	-0.583000	0.906
145	1	112.498		0.43	1	 1.21105	 0.878991	 1.68906	 1.26651	  6.6	-0.239005	-0.571064	0.903
146	1	113.498		0.43	1	 1.18026	 0.886745	 1.69902	 1.26595	  6.6	-0.259377	-0.552895	0.909
147	1	114.498		0.44	1	 1.15006	 0.898866	 1.70783	 1.26503	  6.7	-0.278884	-0.530080	0.922
148	1	115.369	i31703Gh	0.44	1	 1.12523	 0.911958	 1.71461	 1.26387	  6.8	-0.294690	-0.507965	0.941
149	1	116.369		0.48	1	 1.11906	 0.885356	 1.74545	 1.25644	  7.3	-0.313192	-0.546899	0.908
150	1	117.369		0.52	1	 1.11329	 0.857864	 1.77498	 1.24903	  7.9	-0.330843	-0.586272	0.880
151	1	118.369		0.55	1	 1.10789	 0.829658	 1.80280	 1.24173	  8.4	-0.347452	-0.625686	0.855
152	1	119.369		0.59	1	 1.10281	 0.800890	 1.82854	 1.23462	  8.9	-0.362864	-0.664784	0.833
153	1	120.369		0.62	1	 1.09799	 0.771660	 1.85192	 1.22778	  9.4	-0.376966	-0.703292	0.815
154	1	121.369		0.66	1	 1.09335	 0.741985	 1.87273	 1.22126	  9.9	-0.389689	-0.741057	0.801
155	1	122.369		0.69	1	 1.08885	 0.711768	 1.89086	 1.21511	 10.4	-0.401008	-0.778089	0.790
156	1	123.369		0.72	1	 1.08441	 0.680753	 1.90629	 1.20934	 10.8	-0.410937	-0.814599	0.782
157	1	124.369		0.75	1	 1.08000	 0.648477	 1.91905	 1.20396	 11.2	-0.419526	-0.851052	0.778
158	1	125.369		0.77	1	 1.07558	 0.614199	 1.92928	 1.19896	 11.6	-0.426847	-0.888230	0.777
159	1	126.369		0.80	1	 1.07114	 0.576792	 1.93712	 1.19433	 11.9	-0.432991	-0.927334	0.780
160	1	127.369		0.82	1	 1.06667	 0.534564	 1.94277	 1.19002	 12.2	-0.438054	-0.970155	0.786
161	1	128.369		0.84	1	 1.06219	 0.484948	 1.94646	 1.18601	 12.5	-0.442136	-1.01937	0.796
162	1	129.369		0.86	1	 1.05773	 0.423916	 1.94840	 1.18226	 12.8	-0.445334	-1.07915	0.809
163	1	130.369		0.88	1	 1.05333	 0.344807	 1.94880	 1.17874	 13.0	-0.447736	-1.15625	0.825
164	1	131.369		0.90	1	 1.04903	 0.235762	 1.94787	 1.17541	 13.3	-0.449421	-1.26268	0.845
165	1	132.369		0.91	1	 1.04487	 0.0733311	 1.94579	 1.17225	 13.5	-0.450460	-1.42200	0.868
166	1	133.369		0.93	1	 1.04092	-0.196479	 1.94274	 1.16922	 13.7	-0.450910	-1.68831	0.895
167	1	134.369		0.95	1	 1.03721	-0.732579	 1.93885	 1.16631	 14.0	-0.450822	-2.22061	0.926
168	1	135.369		0.96	1	 1.03379	-2.29697	 1.93427	 1.16350	 14.2	-0.450238	-3.78100	0.960
169	1	136.369		0.98	1	 1.03070	-63.1504	 1.92908	 1.16077	 14.4	-0.449194	-64.6303	0.998
170	1	136.422	i41638Gh	0.94	1	 0.950000	 1.41944	 1.88889	 1.16686	 13.9	-0.469444	0.0	1.000
171	1	136.422	i47325Gh	0.94	1	 0.950000	 1.41944	 1.88889	 1.16686	 13.9	-0.469444	0.0	1.000
172	1	137.422		1.15	1	 0.753526	 10.8016	 1.71260	 1.12844	 16.8	-0.479538	 9.56858	0.961
173	1	138.422		1.15	1	 0.744495	 6.13766	 1.72115	 1.13010	 16.6	-0.488325	 4.90484	0.926
174	1	139.422		1.13	1	 0.736176	 4.57859	 1.72918	 1.13219	 16.5	-0.496504	 3.34591	0.893
175	1	140.422		1.12	1	 0.728742	 3.79458	 1.73663	 1.13474	 16.3	-0.503942	 2.56190	0.863
176	1	141.422		1.10	1	 0.722383	 3.31954	 1.74337	 1.13780	 16.1	-0.510494	 2.08666	0.836
177	1	142.422		1.08	1	 0.717301	 2.99797	 1.74932	 1.14140	 15.8	-0.516012	 1.76466	0.812
178	1	143.422		1.06	1	 0.713708	 2.76316	 1.75439	 1.14559	 15.5	-0.520342	 1.52911	0.790
179	1	144.422		1.03	1	 0.711821	 2.58168	 1.75849	 1.15037	 15.1	-0.523332	 1.34652	0.771
180	1	145.422		1.00	1	 0.711852	 2.43489	 1.76153	 1.15579	 14.7	-0.524837	 1.19820	0.755
181	1	146.422		0.97	1	 0.714003	 2.31161	 1.76345	 1.16183	 14.3	-0.524724	 1.07289	0.741
182	1	147.422		0.94	1	 0.718451	 2.20472	 1.76421	 1.16849	 13.8	-0.522881	 0.963387	0.730
183	1	148.422		0.90	1	 0.725339	 2.10950	 1.76379	 1.17574	 13.3	-0.519226	 0.864935	0.722
184	1	149.422		0.85	1	 0.734760	 2.02275	 1.76218	 1.18353	 12.7	-0.513710	 0.774281	0.716
185	1	150.422		0.81	1	 0.746750	 1.94228	 1.75941	 1.19180	 12.1	-0.506331	 0.689200	0.712
186	1	151.422		0.77	1	 0.761267	 1.86659	 1.75554	 1.20047	 11.4	-0.497134	 0.608190	0.711
187	1	152.422		0.72	1	 0.778196	 1.79470	 1.75063	 1.20941	 10.8	-0.486215	 0.530293	0.713
188	1	153.422		0.67	1	 0.797333	 1.72602	 1.74478	 1.21850	 10.1	-0.473722	 0.454966	0.717
189	1	154.422		0.62	1	 0.818397	 1.66024	 1.73809	 1.22762	  9.4	-0.459849	 0.381991	0.724
190	1	155.422		0.58	1	 0.841029	 1.59727	 1.73069	 1.23661	  8.8	-0.444831	 0.311406	0.733
191	1	156.422		0.53	1	 0.864815	 1.53719	 1.72267	 1.24533	  8.1	-0.428929	 0.243442	0.745
192	1	157.422		0.49	1	 0.889299	 1.48018	 1.71414	 1.25366	  7.5	-0.412422	 0.178460	0.759
193	1	158.422		0.45	1	 0.914010	 1.42649	 1.70518	 1.26147	  6.9	-0.395586	 0.116893	0.776
194	1	159.422		0.42	1	 0.938485	 1.37637	 1.69585	 1.26867	  6.4	-0.378684	 0.0591982	0.796
195	1	160.422		0.38	1	 0.962294	 1.33005	 1.68620	 1.27519	  5.9	-0.361954	 0.00580525	0.818
196	1	161.422		0.36	1	 0.985059	 1.28773	 1.67625	 1.28097	  5.5	-0.345594	-0.0429220	0.843
197	1	162.422		0.33	1	 1.00647	 1.24952	 1.66600	 1.28602	  5.1	-0.329763	-0.0867146	0.871
198	1	163.422		0.31	1	 1.02629	 1.21545	 1.65545	 1.29032	  4.8	-0.314577	-0.125416	0.902
199	1	164.422		0.29	1	 1.04438	 1.18549	 1.64459	 1.29392	  4.5	-0.300107	-0.158988	0.935
200	1	165.422		0.28	1	 1.06064	 1.15952	 1.63342	 1.29687	  4.3	-0.286387	-0.187511	0.971
201	1	166.157	i11910Gh	0.27	1	 1.07143	 1.14286	 1.62500	 1.29865	  4.2	-0.276786	-0.205357	1.000
202	1	167.157		0.27	1	 1.10703	 1.06780	 1.62500	 1.29928	  4.1	-0.258987	-0.298208	0.981
203	1	167.982	i17501Gh	0.28	1	 1.13332	 0.997829	 1.62498	 1.29684	  4.3	-0.245828	-0.381319	0.998
204	2	0.000	i11506Gh	1.04	1	 1.00540	 1.82071	 0.756750	 1.14934	 15.2	 0.124325	 0.939635	0.990
205	2	1.000		0.96	1	 0.999226	 1.78800	 0.754533	 1.16470	 14.1	 0.122347	 0.911117	0.965
206	2	2.000		0.85	1	 1.01984	 1.73709	 0.752790	 1.18419	 12.6	 0.133523	 0.850778	0.959
207	2	3.000		0.74	1	 1.06672	 1.67425	 0.751304	 1.20509	 11.1	 0.157709	 0.765236	0.972
208	2	3.903	i11553Gh	0.65	1	 1.12500	 1.61538	 0.750000	 1.22248	  9.8	 0.187500	 0.677885	1.000
209	2	4.903		0.54	1	 1.19873	 1.55468	 0.749884	 1.24367	  8.3	 0.224424	 0.580371	0.983
210	2	5.672	i00478Gh	0.48	1	 1.28571	 1.50000	 0.750000	 1.25616	  7.3	 0.267857	 0.482143	1.000
211	2	6.672		0.44	1	 1.39685	 1.44269	 0.749901	 1.26325	  6.8	 0.323475	 0.369314	0.983
212	2	7.442	i00329Gh	0.45	1	 1.50000	 1.40000	 0.750000	 1.26207	  6.9	 0.375000	 0.275000	1.000
213	2	7.442	i17407Gh	0.45	1	 1.50000	 1.40000	 0.750000	 1.26207	  6.9	 0.375000	 0.275000	1.000
214	2	8.442		0.42	1	 1.45174	 1.41169	 0.752204	 1.26816	  6.4	 0.349768	 0.309721	0.965
215	2	9.442		0.39	1	 1.40282	 1.42513	 0.757369	 1.27364	  6.0	 0.322726	 0.345032	0.941
216	2	10.442		0.37	1	 1.35628	 1.43877	 0.765857	 1.27849	  5.7	 0.295213	 0.377694	0.927
217	2	11.442		0.35	1	 1.31484	 1.45080	 0.778046	 1.28286	  5.4	 0.268397	 0.404357	0.923
218	2	12.442		0.33	1	 1.28026	 1.45961	 0.794206	 1.28695	  5.1	 0.243029	 0.422374	0.930
219	2	13.442		0.31	1	 1.25312	 1.46415	 0.814381	 1.29098	  4.8	 0.219371	 0.430397	0.947
220	2	14.442		0.29	1	 1.23291	 1.46412	 0.838317	 1.29508	  4.5	 0.197298	 0.428507	0.974
221	2	15.146	i20003Gh	0.27	1	 1.22222	 1.46154	 0.857143	 1.29805	  4.2	 0.182540	 0.421856	1.000
222	2	15.146	i20002Gh	0.27	1	 1.22222	 1.46154	 0.857143	 1.29805	  4.2	 0.182540	 0.421856	1.000
223	2	16.146		0.31	1	 1.17168	 1.48674	 0.845570	 1.29102	  4.8	 0.163054	 0.478121	0.975
224	2	17.146		0.34	1	 1.13091	 1.50010	 0.835493	 1.28404	  5.3	 0.147707	 0.516897	0.982
