Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
186	1	153.530	i36538Gh	0.05	1	 1.62500	 1.40000	 1.46154	 1.24183	  0.6	 0.0817308	-0.143269	1.000
187	1	154.530		0.05	1	 1.62188	 1.38239	 1.48762	 1.24084	  0.7	 0.0671321	-0.172361	0.967
188	1	155.530		0.06	1	 1.61210	 1.37208	 1.50913	 1.24033	  0.7	 0.0514821	-0.188539	0.947
189	1	156.530		0.05	1	 1.59520	 1.36855	 1.52525	 1.24058	  0.7	 0.0349745	-0.191677	0.941
190	1	157.530		0.05	1	 1.56994	 1.37180	 1.53655	 1.24167	  0.6	 0.0166924	-0.181443	0.950
191	1	158.396	i00142Gh	0.04	1	 1.54081	 1.38096	 1.54270	 1.24317	  0.5	-0.000946561	-0.160797	0.968
192	1	159.396		0.03	1	 1.50126	 1.39930	 1.54545	 1.24514	  0.3	-0.0220948	-0.124058	0.999
193	1	159.427	i39584Gh	0.03	1	 1.50000	 1.40000	 1.54545	 1.24520	  0.3	-0.0227273	-0.122727	1.000
194	1	159.427	i22282Gh	0.03	1	 1.50000	 1.40000	 1.54545	 1.24520	  0.3	-0.0227273	-0.122727	1.000
195	1	159.427	i38741Gh	0.03	1	 1.50000	 1.40000	 1.54545	 1.24520	  0.3	-0.0227273	-0.122727	1.000
196	1	159.427	i29135Gh	0.03	1	 1.50000	 1.40000	 1.54545	 1.24520	  0.3	-0.0227273	-0.122727	1.000
197	1	159.427	i04116Gh	0.03	1	 1.50000	 1.40000	 1.54545	 1.24520	  0.3	-0.0227273	-0.122727	1.000
198	1	159.427	i34379Gh	0.03	1	 1.50000	 1.40000	 1.54545	 1.24520	  0.3	-0.0227273	-0.122727	1.000
199	1	160.427		0.04	1	 1.54050	 1.38082	 1.54298	 1.24317	  0.5	-0.00124250	-0.160916	0.967
200	1	161.427		0.05	1	 1.57421	 1.37065	 1.53547	 1.24141	  0.6	 0.0193709	-0.184191	0.949
201	1	162.327	i30188Gh	0.06	1	 1.59652	 1.36840	 1.52474	 1.24046	  0.7	 0.0358888	-0.192226	0.944
202	1	163.327		0.06	1	 1.61313	 1.37244	 1.50800	 1.24029	  0.7	 0.0525662	-0.188123	0.950
203	1	164.327		0.05	1	 1.62248	 1.38352	 1.48564	 1.24089	  0.7	 0.0684190	-0.170536	0.970
204	1	165.227	i23010Gh	0.05	1	 1.62500	 1.40000	 1.46154	 1.24183	  0.6	 0.0817308	-0.143269	1.000
205	1	165.227	i40459Gh	0.05	1	 1.62500	 1.40000	 1.46154	 1.24183	  0.6	 0.0817308	-0.143269	1.000
206	1	165.227	i44434Gh	0.05	1	 1.62500	 1.40000	 1.46154	 1.24183	  0.6	 0.0817308	-0.143269	1.000
207	1	165.227	i04121Gh	0.05	1	 1.62500	 1.40000	 1.46154	 1.24183	  0.6	 0.0817308	-0.143269	1.000
208	1	166.227		0.10	1	 1.62516	 1.32302	 1.55023	 1.23333	  1.3	 0.0374670	-0.264677	0.971
209	1	167.227		0.22	1	 1.62526	 1.24398	 1.64142	 1.21497	  2.7	-0.00807779	-0.389363	0.962
210	1	168.117	i20697Gh	0.37	1	 1.62516	 1.18276	 1.71230	 1.19221	  4.6	-0.0435687	-0.485973	0.972
211	1	169.117		0.38	1	 1.62534	 1.15976	 1.70945	 1.18956	  4.8	-0.0420531	-0.507633	0.962
